Order,Weight
1,896
2,906
3,912
4,923
5,929
6,934
7,936
8,955
9,957
10,962
11,972
12,973
13,982
14,987
15,1000
16,1004
17,1005
18,1009
19,1023
20,1028
21,1028
22,1031
23,1038
24,1040
25,1051
26,1052
27,1052
28,1054
29,1056
30,1059
31,1064
32,1065
33,1066
34,1070
35,1071
36,1074
37,1074
38,1074
39,1074
40,1078
41,1079
42,1080
43,1081
44,1081
45,1081
46,1085
47,1087
48,1088
49,1088
50,1088
51,1089
52,1091
53,1091
54,1092
55,1092
56,1093
57,1093
58,1094
59,1096
60,1096
61,1096
62,1096
63,1096
64,1097
65,1098
66,1098
67,1098
68,1099
69,1099
70,1101
71,1106
72,1106
73,1107
74,1108
75,1108
76,1108
77,1108
78,1109
79,1109
80,1109
81,1109
82,1110
83,1110
84,1111
85,1112
86,1112
87,1113
88,1113
89,1114
90,1115
91,1115
92,1116
93,1116
94,1117
95,1117
96,1117
97,1118
98,1118
99,1118
100,1118
101,1118
102,1119
103,1119
104,1119
105,1119
106,1119
107,1120
108,1121
109,1122
110,1122
111,1123
112,1123
113,1123
114,1123
115,1124
116,1125
117,1126
118,1126
119,1127
120,1127
121,1129
122,1131
123,1131
124,1131
125,1132
126,1132
127,1132
128,1132
129,1132
130,1133
131,1133
132,1134
133,1134
134,1134
135,1135
136,1135
137,1137
138,1138
139,1139
140,1140
141,1140
142,1140
143,1141
144,1141
145,1141
146,1142
147,1144
148,1144
149,1145
150,1146
151,1146
152,1146
153,1147
154,1148
155,1148
156,1148
157,1149
158,1150
159,1150
160,1151
161,1151
162,1151
163,1152
164,1152
165,1152
166,1153
167,1153
168,1153
169,1154
170,1154
171,1154
172,1154
173,1154
174,1155
175,1155
176,1155
177,1155
178,1155
179,1155
180,1155
181,1155
182,1155
183,1157
184,1157
185,1158
186,1158
187,1158
188,1159
189,1160
190,1160
191,1160
192,1160
193,1161
194,1162
195,1162
196,1162
197,1162
198,1163
199,1163
200,1163
201,1163
202,1163
203,1163
204,1163
205,1164
206,1164
207,1164
208,1164
209,1165
210,1165
211,1165
212,1165
213,1166
214,1167
215,1167
216,1167
217,1168
218,1168
219,1168
220,1168
221,1168
222,1168
223,1169
224,1169
225,1169
226,1169
227,1169
228,1171
229,1171
230,1171
231,1172
232,1172
233,1172
234,1173
235,1174
236,1174
237,1174
238,1174
239,1174
240,1174
241,1175
242,1175
243,1175
244,1175
245,1176
246,1176
247,1176
248,1176
249,1176
250,1177
251,1177
252,1177
253,1177
254,1177
255,1178
256,1178
257,1178
258,1178
259,1178
260,1178
261,1179
262,1179
263,1179
264,1179
265,1179
266,1180
267,1180
268,1180
269,1180
270,1180
271,1181
272,1181
273,1181
274,1181
275,1181
276,1181
277,1181
278,1181
279,1181
280,1182
281,1182
282,1182
283,1182
284,1182
285,1182
286,1182
287,1183
288,1183
289,1183
290,1183
291,1183
292,1183
293,1184
294,1184
295,1184
296,1185
297,1185
298,1185
299,1186
300,1186
301,1186
302,1186
303,1186
304,1186
305,1186
306,1186
307,1187
308,1187
309,1187
310,1187
311,1187
312,1188
313,1188
314,1188
315,1189
316,1189
317,1189
318,1189
319,1189
320,1189
321,1189
322,1189
323,1190
324,1190
325,1190
326,1190
327,1190
328,1190
329,1190
330,1190
331,1191
332,1191
333,1191
334,1191
335,1192
336,1192
337,1192
338,1192
339,1192
340,1193
341,1193
342,1193
343,1193
344,1193
345,1193
346,1193
347,1193
348,1193
349,1194
350,1194
351,1195
352,1195
353,1197
354,1199
355,1199
356,1200
357,1201
358,1201
359,1201
360,1201
361,1202
362,1202
363,1202
364,1202
365,1203
366,1203
367,1203
368,1203
369,1203
370,1203
371,1203
372,1203
373,1204
374,1204
375,1204
376,1205
377,1205
378,1205
379,1205
380,1205
381,1205
382,1205
383,1205
384,1205
385,1206
386,1206
387,1206
388,1206
389,1206
390,1206
391,1207
392,1207
393,1207
394,1208
395,1208
396,1208
397,1208
398,1208
399,1208
400,1208
401,1208
402,1208
403,1208
404,1208
405,1209
406,1209
407,1209
408,1209
409,1209
410,1209
411,1209
412,1209
413,1209
414,1210
415,1210
416,1210
417,1211
418,1211
419,1211
420,1211
421,1211
422,1211
423,1211
424,1211
425,1211
426,1211
427,1211
428,1212
429,1212
430,1212
431,1212
432,1214
433,1214
434,1214
435,1214
436,1214
437,1214
438,1214
439,1214
440,1215
441,1215
442,1215
443,1215
444,1215
445,1215
446,1216
447,1216
448,1216
449,1216
450,1216
451,1217
452,1217
453,1217
454,1217
455,1218
456,1218
457,1218
458,1218
459,1218
460,1218
461,1218
462,1218
463,1218
464,1218
465,1218
466,1218
467,1218
468,1218
469,1219
470,1219
471,1219
472,1219
473,1219
474,1219
475,1219
476,1219
477,1220
478,1220
479,1220
480,1220
481,1220
482,1220
483,1221
484,1221
485,1221
486,1221
487,1221
488,1221
489,1221
490,1221
491,1221
492,1221
493,1222
494,1222
495,1222
496,1222
497,1222
498,1223
499,1223
500,1223
501,1223
502,1224
503,1224
504,1224
505,1224
506,1224
507,1224
508,1224
509,1225
510,1225
511,1225
512,1225
513,1225
514,1225
515,1225
516,1225
517,1226
518,1226
519,1226
520,1226
521,1226
522,1226
523,1226
524,1226
525,1227
526,1227
527,1227
528,1227
529,1228
530,1228
531,1228
532,1228
533,1228
534,1228
535,1229
536,1229
537,1229
538,1229
539,1229
540,1229
541,1230
542,1230
543,1230
544,1230
545,1230
546,1230
547,1230
548,1230
549,1230
550,1230
551,1231
552,1231
553,1231
554,1231
555,1231
556,1231
557,1231
558,1231
559,1231
560,1231
561,1231
562,1231
563,1231
564,1232
565,1232
566,1232
567,1232
568,1232
569,1232
570,1233
571,1233
572,1233
573,1233
574,1233
575,1234
576,1234
577,1234
578,1234
579,1234
580,1235
581,1235
582,1235
583,1235
584,1235
585,1235
586,1235
587,1235
588,1235
589,1236
590,1236
591,1236
592,1236
593,1236
594,1236
595,1237
596,1238
597,1238
598,1238
599,1239
600,1239
601,1239
602,1239
603,1239
604,1239
605,1239
606,1239
607,1239
608,1239
609,1239
610,1240
611,1240
612,1240
613,1241
614,1241
615,1241
616,1242
617,1242
618,1242
619,1242
620,1242
621,1242
622,1242
623,1242
624,1242
625,1242
626,1243
627,1243
628,1243
629,1243
630,1244
631,1244
632,1245
633,1245
634,1245
635,1245
636,1245
637,1245
638,1246
639,1246
640,1246
641,1246
642,1246
643,1246
644,1246
645,1247
646,1247
647,1247
648,1248
649,1248
650,1248
651,1249
652,1249
653,1249
654,1249
655,1249
656,1251
657,1252
658,1252
659,1252
660,1252
661,1252
662,1252
663,1253
664,1253
665,1253
666,1254
667,1254
668,1254
669,1255
670,1256
671,1257
672,1258
673,1259
674,1260
675,1260
676,1260
677,1260
678,1260
679,1261
680,1261
681,1261
682,1261
683,1262
684,1262
685,1263
686,1263
687,1263
688,1263
689,1263
690,1263
691,1263
692,1264
693,1265
694,1265
695,1266
696,1266
697,1266
698,1267
699,1267
700,1267
701,1267
702,1267
703,1268
704,1268
705,1268
706,1269
707,1269
708,1270
709,1270
710,1270
711,1271
712,1271
713,1271
714,1271
715,1271
716,1272
717,1272
718,1272
719,1273
720,1273
721,1274
722,1274
723,1274
724,1275
725,1276
726,1276
727,1278
728,1278
729,1279
730,1280
731,1280
732,1281
733,1282
